Pond,Crop ID,Hectares,Stocking Date,Stocking,SD(psm),Sampling Date,DOC,Week,ABW,Weekly Inc,AWG(g),AWG 1,AWG 2,AWG 3,FCR,TCF,Weekly TCF(kg),BM,BM 1,ABW 1,BM 2,ABW 2,BM 3,ABW 3,Survival,Survival  Rate,status,spanningYear,cycle
D14,F1D14C22025.23,1.5,18-02-2025,632061,42,22-05-2025,93,13.3,21.04,1.87,1.58,1.81,2.07,1.49,1.4,11136.0,1314.0,7979.1,8737.61,23.0,9496.09,25.0,10254.56,27.0,379236.6,60%,HARVESTED,2024-2025,2.0
D14,F1D14C12024.22,1.5,28-09-2024,630700,42,23-01-2025,117,16.7,23.95,1.19,1.43,2.71,0.77,1.19,1.48,17406.0,1544.0,11782.1,12766.0,25.9,13749.89,27.9,14733.79,29.9,491946.0,78%,HARVESTED,2024-2025,1.0
D14,F1D14C12025.24,1.4375,03-10-2025,786150,55,30-10-2025,27,3.9,3.37,0.81,0.87,2.25,0.1,0.29,0.59,1398.0,542.0,2384.4,3799.46,5.4,5214.53,7.4,6629.6,9.4,707535.0,90%,ACTIVE,2025-2026,1.0
D13,F1D13C22025.23,1.5,19-02-2025,630230,42,22-05-2025,92,13.1,20.86,2.15,1.59,1.71,2.59,1.55,1.42,11737.0,1337.0,8282.4,9076.45,22.9,9870.54,24.9,10664.63,26.9,397044.9,63%,HARVESTED,2024-2025,2.0
D13,F1D13C12024.22,1.5,28-09-2024,634200,42,23-01-2025,117,16.7,24.75,1.54,1.48,1.95,0.93,1.66,1.53,17069.0,1552.0,11144.5,12045.04,26.8,12945.61,28.8,13846.17,30.8,450282.0,71%,HARVESTED,2024-2025,1.0
D13,F1D13C12025.24,1.4375,03-10-2025,787083,55,30-10-2025,27,3.9,3.73,1.36,0.97,2.06,0.1,0.29,0.54,1398.0,542.0,2583.5,3968.79,5.7,5354.05,7.7,6739.32,9.7,692633.04,88%,ACTIVE,2025-2026,1.0
D12,F1D12C22025.23,1.5,19-02-2025,630266,42,22-05-2025,92,13.1,20.22,1.96,1.54,1.19,2.74,2.24,1.36,11972.0,1441.0,8793.4,9663.12,22.2,10532.88,24.2,11402.65,26.2,434883.54,69%,HARVESTED,2024-2025,2.0
D12,F1D12C12024.22,1.5,28-09-2024,632240,42,30-01-2025,124,17.7,25.68,1.33,1.45,1.29,1.48,1.08,1.49,17955.0,1065.0,12014.6,12950.3,27.7,13886.01,29.7,14821.73,31.7,467857.6,74%,HARVESTED,2024-2025,1.0
D12,F1D12C12025.24,1.4375,03-10-2025,790221,55,30-10-2025,27,3.9,3.44,0.87,0.89,2.26,0.1,0.29,0.58,1398.0,542.0,2419.3,3825.93,5.4,5232.53,7.4,6639.12,9.4,703296.69,89%,ACTIVE,2025-2026,1.0
D11,F1D11C22025.23,1.5,19-02-2025,630226,42,05-06-2025,106,15.1,23.54,1.34,1.55,1.87,1.63,1.75,1.52,15382.0,1518.0,10088.1,10945.26,25.5,11802.36,27.5,12659.47,29.5,428553.68,68%,HARVESTED,2024-2025,2.0
D11,F1D11C12024.22,1.5,28-09-2024,634480,42,30-01-2025,124,17.7,24.58,0.39,1.39,0.78,2.02,1.67,1.62,17988.0,1079.0,11072.8,11973.78,26.6,12874.74,28.6,13775.7,30.6,450480.8,71%,HARVESTED,2024-2025,1.0
D11,F1D11C12025.24,1.4375,03-10-2025,788322,55,30-10-2025,27,3.9,4.43,1.35,1.15,2.77,0.1,0.29,0.45,1398.0,542.0,3108.1,4511.33,6.4,5914.55,8.4,7317.76,10.4,701606.58,89%,ACTIVE,2025-2026,1.0
D10,F1D10C22025.24,1.5,19-02-2025,628606,42,08-05-2025,78,11.1,18.06,2.66,1.62,2.76,1.86,2.24,1.04,8888.0,1342.0,8514.5,9457.38,20.1,10400.29,22.1,11343.2,24.1,471454.5,75%,HARVESTED,2024-2025,2.0
D10,F1D10C32025.25,1.5,25-05-2025,807667,54,16-07-2025,52,7.4,11.44,1.83,1.54,1.94,1.75,1.92,1.21,4911.0,851.0,4065.5,4776.22,13.4,5486.96,15.4,6197.71,17.4,355373.48,44%,HARVESTED,2024-2025,3.0
D10,F1D10C12024.23,1.5,27-09-2024,635250,42,26-12-2024,90,12.9,20.52,2.93,1.60,1.33,2.12,1.32,1.24,10520.0,1330.0,8473.0,9298.78,22.5,10124.61,24.5,10950.43,26.5,412912.5,65%,HARVESTED,2024-2025,1.0
D10,F1D10C12025.26,1.4375,03-10-2025,790834,55,30-10-2025,27,3.9,3.42,1.41,0.89,1.7,0.1,0.29,0.58,1398.0,542.0,2407.1,3814.82,5.4,5222.51,7.4,6630.19,9.4,703842.26,89%,ACTIVE,2025-2026,1.0
D9,F1D09C22025.23,1.5,19-02-2025,628511,42,22-05-2025,92,13.1,20.84,2.69,1.59,2.36,2.0,1.82,1.41,11659.0,1402.0,8251.9,9043.77,22.8,9835.7,24.8,10627.62,26.8,395961.93,63%,HARVESTED,2024-2025,2.0
D9,F1D09C12024.22,1.5,26-09-2024,632985,42,30-01-2025,126,18.0,25.93,2.13,1.44,1.02,2.92,1.02,1.44,16568.0,1065.0,11489.3,12375.49,27.9,13261.67,29.9,14147.85,31.9,443089.5,70%,HARVESTED,2024-2025,1.0
D9,F1D09C12025.24,1.4375,03-10-2025,790834,55,30-10-2025,27,3.9,3.81,1.41,0.99,2.09,0.1,0.29,0.52,1400.0,542.0,2711.8,4135.27,5.8,5558.77,7.8,6982.27,9.8,711750.6,90%,ACTIVE,2025-2026,1.0
D8,F1D08C22025.24,1.5,19-02-2025,628621,42,21-05-2025,91,13.0,21.05,1.26,1.62,2.29,2.12,2.27,1.43,11691.0,1411.0,8204.1,8983.62,23.1,9763.11,25.1,10542.6,27.1,389745.02,62%,HARVESTED,2024-2025,2.0
D8,F1D08C12024.23,1.5,26-09-2024,635450,42,01-01-2025,97,13.9,21.36,2.76,1.54,1.97,1.85,1.96,1.25,12525.0,1458.0,10044.2,10984.65,23.4,11925.11,25.4,12865.58,27.4,470233.0,74%,HARVESTED,2024-2025,1.0
D8,F1D08C12025.25,1.4375,02-10-2025,789040,55,29-10-2025,27,3.9,4.43,1.8,1.15,2.32,0.06,0.35,0.48,1489.0,555.0,3110.9,4515.44,6.4,5919.93,8.4,7324.42,10.4,702245.6,89%,ACTIVE,2025-2026,1.0
D7,F1D07C22025.24,1.5,20-02-2025,630720,42,21-05-2025,90,12.9,21.08,1.64,1.64,2.26,2.18,2.6,1.39,11610.0,1339.0,8376.2,9170.92,23.1,9965.62,25.1,10760.33,27.1,397353.6,63%,HARVESTED,2024-2025,2.0
D7,F1D07C12024.23,1.5,26-09-2024,630120,42,29-01-2025,125,17.9,24.09,1.82,1.35,2.37,0.99,0.93,1.53,18404.0,1160.0,11991.9,12987.47,26.1,13983.06,28.1,14978.65,30.1,497794.8,79%,HARVESTED,2024-2025,1.0
D7,F1D07C12025.25,1.4375,02-10-2025,790638,55,29-10-2025,27,3.9,5.07,2.23,1.31,2.53,0.06,0.35,0.42,1489.0,555.0,3567.6,4974.94,7.1,6382.27,9.1,7789.61,11.1,703667.82,89%,ACTIVE,2025-2026,1.0
D6,F1D06C22025.24,1.5,20-02-2025,628330,42,21-05-2025,90,12.9,19.8,2.2,1.54,1.96,2.33,1.25,1.4,11829.0,1415.0,8459.8,9314.37,21.8,10168.9,23.8,11023.43,25.8,427264.4,68%,HARVESTED,2024-2025,2.0
D6,F1D06C12024.23,1.5,26-09-2024,630120,42,29-01-2025,125,17.9,23.17,0.64,1.30,1.02,2.4,1.01,1.68,18448.0,1075.0,10949.9,11895.09,25.2,12840.27,27.2,13785.45,29.2,472590.0,75%,HARVESTED,2024-2025,1.0
D6,F1D06C12025.24,1.4375,02-10-2025,789645,55,29-10-2025,27,3.9,4.75,1.67,1.23,2.77,0.06,0.35,0.45,1489.0,555.0,3300.7,4690.5,6.8,6080.27,8.8,7470.05,10.8,694887.6,88%,ACTIVE,2025-2026,1.0
D5,F1D05C22025.23,1.5,20-02-2025,628330,42,21-05-2025,90,12.9,20.17,2.61,1.57,1.27,2.11,1.99,1.38,12053.0,1435.0,8744.7,9611.76,22.2,10478.85,24.2,11345.95,26.2,433547.7,69%,HARVESTED,2024-2025,2.0
D5,F1D05C12024.22,1.5,26-09-2024,630120,42,05-02-2025,132,18.9,26.01,0.04,1.38,2.39,2.29,1.24,1.59,19241.0,650.0,12128.2,13060.75,28.0,13993.33,30.0,14925.9,32.0,466288.8,74%,HARVESTED,2024-2025,1.0
D5,F1D05C12025.24,1.4375,02-10-2025,789040,55,29-10-2025,27,3.9,4.45,1.57,1.15,2.57,0.06,0.35,0.48,1489.0,555.0,3089.9,4478.59,6.5,5867.3,8.4,7256.01,10.4,694355.2,88%,ACTIVE,2025-2026,1.0
D4,F1D04C22025.23,1.5,20-02-2025,630295,42,21-05-2025,90,12.9,21.23,2.02,1.65,1.66,2.15,2.33,1.37,12129.0,1457.0,8831.6,9663.56,23.2,10495.55,25.2,11327.54,27.2,415994.7,66%,HARVESTED,2024-2025,2.0
D4,F1D04C12024.22,1.5,27-09-2024,634620,42,29-01-2025,124,17.7,24.59,0.84,1.39,1.21,1.66,1.95,1.64,18739.0,1144.0,11391.9,12318.42,26.6,13244.96,28.6,14171.51,30.6,463272.6,73%,HARVESTED,2024-2025,1.0
D4,F1D04C12025.24,1.4375,02-10-2025,789480,55,29-10-2025,27,3.9,3.98,2.28,1.03,1.39,0.06,0.35,0.54,1489.0,555.0,2765.1,4154.55,6.0,5544.04,8.0,6933.52,10.0,694742.4,88%,ACTIVE,2025-2026,1.0
